#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36565758,C7M61_002369,C7M61_002369,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565759,C7M61_002370,C7M61_002370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565760,C7M61_002371,C7M61_002371,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565761,C7M61_002372,C7M61_002372,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565762,C7M61_002373,C7M61_002373,-,-,Unknown,-,"homoisocitrate dehydrogenase, mitochondrial",protein-coding,-,-,-,"homoisocitrate dehydrogenase, mitochondrial",20200919,-
418784,36565763,C7M61_002374,C7M61_002374,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565764,C7M61_002375,C7M61_002375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565765,C7M61_002376,C7M61_002376,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565766,C7M61_002377,C7M61_002377,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565767,C7M61_002378,C7M61_002378,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565768,C7M61_002379,C7M61_002379,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565769,C7M61_002380,C7M61_002380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565770,C7M61_002381,C7M61_002381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565771,C7M61_002382,C7M61_002382,-,-,Unknown,-,YbgI/family dinuclear metal center protein,protein-coding,-,-,-,YbgI/family dinuclear metal center protein,20200919,-
418784,36565772,C7M61_002383,C7M61_002383,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565773,C7M61_002384,C7M61_002384,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565774,C7M61_002385,C7M61_002385,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565775,C7M61_002386,C7M61_002386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
