#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089215,FDI45_gp102,FDI45_gp102,RISINGSUN_102,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2026080,40089216,FDI45_gp103,FDI45_gp103,RISINGSUN_103,-,-,-,putative DNA double strand break repair,protein-coding,-,-,-,putative DNA double strand break repair,20201221,-
2026080,40089217,FDI45_gp104,FDI45_gp104,RISINGSUN_104,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20201221,-
2026080,40089218,FDI45_gp105,FDI45_gp105,RISINGSUN_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089219,FDI45_gp106,FDI45_gp106,RISINGSUN_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089220,FDI45_gp107,FDI45_gp107,RISINGSUN_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089221,FDI45_gp108,FDI45_gp108,RISINGSUN_108,-,-,-,putative NAD dependent DNA ligase,protein-coding,-,-,-,putative NAD dependent DNA ligase,20201221,-
2026080,40089222,FDI45_gp109,FDI45_gp109,RISINGSUN_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089223,FDI45_gp110,FDI45_gp110,RISINGSUN_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089224,FDI45_gp111,FDI45_gp111,RISINGSUN_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089225,FDI45_gp112,FDI45_gp112,RISINGSUN_112,-,-,-,putative ribonuclease HI,protein-coding,-,-,-,putative ribonuclease HI,20201221,-
2026080,40089226,FDI45_gp113,FDI45_gp113,RISINGSUN_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089227,FDI45_gp114,FDI45_gp114,RISINGSUN_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089228,FDI45_gp115,FDI45_gp115,RISINGSUN_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089229,FDI45_gp116,FDI45_gp116,RISINGSUN_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089230,FDI45_gp117,FDI45_gp117,RISINGSUN_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089231,FDI45_gp118,FDI45_gp118,RISINGSUN_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089232,FDI45_gp119,FDI45_gp119,RISINGSUN_119,-,-,-,putative type 3 dihydrofolate reductase,protein-coding,-,-,-,putative type 3 dihydrofolate reductase,20201221,-
2026080,40089233,FDI45_gp120,FDI45_gp120,RISINGSUN_120,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2026080,40089234,FDI45_gp121,FDI45_gp121,RISINGSUN_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089235,FDI45_gp122,FDI45_gp122,RISINGSUN_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089236,FDI45_gp123,FDI45_gp123,RISINGSUN_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089237,FDI45_gp124,FDI45_gp124,RISINGSUN_124,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
2026080,40089238,FDI45_gp125,FDI45_gp125,RISINGSUN_125,-,-,-,putative acetyltransferase family protein,protein-coding,-,-,-,putative acetyltransferase family protein,20201221,-
2026080,40089239,FDI45_gp126,FDI45_gp126,RISINGSUN_126,-,-,-,putative mycothiosynthase,protein-coding,-,-,-,putative mycothiosynthase,20201221,-
2026080,40089240,FDI45_gp127,FDI45_gp127,RISINGSUN_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089241,FDI45_gp128,FDI45_gp128,RISINGSUN_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089242,FDI45_gp129,FDI45_gp129,RISINGSUN_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089243,FDI45_gp130,FDI45_gp130,RISINGSUN_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089244,FDI45_gp131,FDI45_gp131,RISINGSUN_131,-,-,-,SPFH domain/band 7 family protein,protein-coding,-,-,-,SPFH domain/band 7 family protein,20201221,-
2026080,40089245,FDI45_gp132,FDI45_gp132,RISINGSUN_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089246,FDI45_gp133,FDI45_gp133,RISINGSUN_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089247,FDI45_gp134,FDI45_gp134,RISINGSUN_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089248,FDI45_gp135,FDI45_gp135,RISINGSUN_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
