#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
90370,7708554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus typhi; Bacterium (subgen. Eberthella) typhi; Salmonella choleraesuis serovar Typhi; Salmonella choleraesuis typhi; Salmonella enterica ser. typhi; Salmonella enterica serotype Typhi; Salmonella enterica serovar Typhi; Salmonella typhi).,other,-,-,-,-,20210220,-
90370,39669346,SM251131_RS25050,SM251131_RS25050,SM251131_07142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669363,SM251131_RS24585,SM251131_RS24585,SM251131_06102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669370,SM251131_RS24640,SM251131_RS24640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669408,SM251131_RS24630,SM251131_RS24630,SM251131_06095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39669409,SM251131_RS24835,SM251131_RS24835,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669414,SM251131_RS24730,SM251131_RS24730,SM251131_06104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39669416,SM251131_RS24825,SM251131_RS24825,SM251131_07116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669428,SM251131_RS25070,SM251131_RS25070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669436,SM251131_RS24960,SM251131_RS24960,SM251131_07132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39669446,SM251131_RS24680,SM251131_RS24680,SM251131_00080,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39669448,SM251131_RS24755,SM251131_RS24755,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669451,SM251131_RS24855,SM251131_RS24855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669462,SM251131_RS24950,SM251131_RS24950,SM251131_07123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669463,SM251131_RS24665,SM251131_RS24665,SM251131_06103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669490,SM228140_RS24870,SM228140_RS24870,SM228140_07089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39669542,SM228140_RS24635,SM228140_RS24635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669545,SM228140_RS24660,SM228140_RS24660,SM228140_06993,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39669546,SM228140_RS24550,SM228140_RS24550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669550,SM228140_RS24910,SM228140_RS24910,SM228140_07049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669573,SM228140_RS24620,SM228140_RS24620,SM228140_07001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669577,SM228140_RS24535,SM228140_RS24535,SM228140_07091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
90370,39669588,SM214135_RS00080,SM214135_RS00080,SM214135_06978,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669643,SM214135_RS00330,SM214135_RS00330,SM214135_07086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39669644,SM214135_RS00120,SM214135_RS00120,SM214135_06983,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39669663,SM214135_RS00010,SM214135_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669680,SM214135_RS00095,SM214135_RS00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669681,SM214135_RS00370,SM214135_RS00370,SM214135_07044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669692,SM217186_RS00825,SM217186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669706,SM217186_RS01200,SM217186_RS01200,SM217186_07475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669720,SM217186_RS00555,SM217186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669750,SM217186_RS00715,SM217186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669754,SM217186_RS00500,SM217186_RS00500,SM217186_07488,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669757,SM217186_RS00190,SM217186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39669767,SM217186_RS00915,SM217186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669774,SM217186_RS00950,SM217186_RS00950,SM217186_07484,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669784,SM217186_RS01110,SM217186_RS01110,SM217186_07416,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39669795,SM217186_RS01025,SM217186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669808,SM217186_RS00195,SM217186_RS00195,SM217186_07261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39669845,SM217186_RS00345,SM217186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669847,SM217186_RS00110,SM217186_RS00110,SM217186_07469,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669857,SM217186_RS00075,SM217186_RS00075,SM217186_07228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669859,SM217186_RS00955,SM217186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669876,SM217186_RS00810,SM217186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669897,SM217186_RS00875,SM217186_RS00875,SM217186_07481,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669910,SM217186_RS01020,SM217186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669919,SM217186_RS00770,SM217186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669941,SM217186_RS25915,SM217186_RS25915,SM217186_07170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669942,SM217186_RS26160,SM217186_RS26160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669960,SM217186_RS26235,SM217186_RS26235,SM217186_00103,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39669961,SM217186_RS26060,SM217186_RS26060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669965,SM217186_RS26330,SM217186_RS26330,SM217186_06139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39669966,SM217186_RS25965,SM217186_RS25965,SM217186_07178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39669990,SM217186_RS26080,SM217186_RS26080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670003,SM217186_RS26275,SM217186_RS26275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670007,SM217186_RS26185,SM217186_RS26185,SM217186_06122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670033,SM217186_RS25865,SM217186_RS25865,SM217186_07166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670035,SM217186_RS26285,SM217186_RS26285,SM217186_06130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670051,SM217186_RS26250,SM217186_RS26250,SM217186_06126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670060,SM217186_RS26090,SM217186_RS26090,SM217186_07191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670062,SM217186_RS25845,SM217186_RS25845,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670065,SM217186_RS25955,SM217186_RS25955,SM217186_07175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670069,SM273110_RS24725,SM273110_RS24725,SM273110_00098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670081,SM273110_RS25075,SM273110_RS25075,SM273110_06237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670092,SM273110_RS25210,SM273110_RS25210,SM273110_06251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670103,SM273110_RS24675,SM273110_RS24675,SM273110_00001,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670113,SM273110_RS24985,SM273110_RS24985,SM273110_06222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670114,SM273110_RS24885,SM273110_RS24885,SM273110_06211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670135,SM273110_RS25085,SM273110_RS25085,SM273110_06239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670143,SM273110_RS24600,SM273110_RS24600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670144,SM273110_RS24690,SM273110_RS24690,SM273110_00093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670147,SM273110_RS25180,SM273110_RS25180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670149,SM273110_RS24965,SM273110_RS24965,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670162,SM273110_RS24625,SM273110_RS24625,SM273110_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670171,SM273110_RS24715,SM273110_RS24715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670183,SM273110_RS25200,SM273110_RS25200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670194,SM273110_RS25035,SM273110_RS25035,SM273110_06227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670202,SM273110_RS24770,SM273110_RS24770,SM273110_00104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670210,SM211126_RS25060,SM211126_RS25060,SM211126_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670219,SM211126_RS24765,SM211126_RS24765,SM211126_06205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670220,SM211126_RS25045,SM211126_RS25045,SM211126_00001,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670223,SM211126_RS24995,SM211126_RS24995,SM211126_00154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670229,SM211126_RS24890,SM211126_RS24890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670236,SM211126_RS24655,SM211126_RS24655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670238,SM211126_RS25085,SM211126_RS25085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670240,SM211126_RS25140,SM211126_RS25140,SM211126_00171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670241,SM211126_RS24725,SM211126_RS24725,SM211126_06201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670249,SM211126_RS24970,SM211126_RS24970,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670255,SM211126_RS25095,SM211126_RS25095,SM211126_00159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670293,SM211126_RS24900,SM211126_RS24900,SM211126_06225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670317,SM211126_RS24870,SM211126_RS24870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670324,SM211126_RS24775,SM211126_RS24775,SM211126_06208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670330,SM211126_RS24675,SM211126_RS24675,SM211126_06196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670340,SM203125_RS25160,SM203125_RS25160,SM203125_00081,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670343,SM203125_RS25235,SM203125_RS25235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670347,SM203125_RS24750,SM203125_RS24750,SM203125_07112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670354,SM203125_RS25210,SM203125_RS25210,SM203125_06176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670362,SM203125_RS25110,SM203125_RS25110,SM203125_06164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670364,SM203125_RS25120,SM203125_RS25120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670383,SM203125_RS24760,SM203125_RS24760,SM203125_07105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670386,SM203125_RS24635,SM203125_RS24635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670401,SM203125_RS24870,SM203125_RS24870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670454,SM203125_RS24800,SM203125_RS24800,SM203125_07120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670455,SM203125_RS25065,SM203125_RS25065,SM203125_06158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670456,SM203125_RS24625,SM203125_RS24625,SM203125_07096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670457,SM203125_RS24850,SM203125_RS24850,SM203125_07114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670459,SM203125_RS24950,SM203125_RS24950,SM203125_07132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670464,SM203125_RS24655,SM203125_RS24655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670469,SM203125_RS25145,SM203125_RS25145,SM203125_06169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670478,SM281186_RS25040,SM281186_RS25040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670484,SM281186_RS25010,SM281186_RS25010,SM281186_07123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670490,SM281186_RS25075,SM281186_RS25075,SM281186_07071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670497,SM281186_RS24955,SM281186_RS24955,SM281186_07054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670503,SM281186_RS24900,SM281186_RS24900,SM281186_07040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670505,SM281186_RS24995,SM281186_RS24995,SM281186_07052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670514,SM281186_RS25015,SM281186_RS25015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670517,SM281186_RS24940,SM281186_RS24940,SM281186_07119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670519,SM281186_RS24820,SM281186_RS24820,SM281186_07034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670538,SM286126_RS25170,SM286126_RS25170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670546,SM286126_RS24635,SM286126_RS24635,SM286126_07105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670549,SM286126_RS24685,SM286126_RS24685,SM286126_07108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670554,SM286126_RS24900,SM286126_RS24900,SM286126_06146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670559,SM286126_RS24595,SM286126_RS24595,SM286126_07096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670562,SM286126_RS25140,SM286126_RS25140,SM286126_07160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670580,SM286126_RS24955,SM286126_RS24955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670585,SM286126_RS25150,SM286126_RS25150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670590,SM286126_RS24705,SM286126_RS24705,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670601,SM286126_RS24945,SM286126_RS24945,SM286126_06153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670619,SM286126_RS25070,SM286126_RS25070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670623,SM286126_RS24980,SM286126_RS24980,SM286126_06156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670643,SM286126_RS24995,SM286126_RS24995,SM286126_00080,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670650,SM286126_RS24585,SM286126_RS24585,SM286126_07097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670658,SM286126_RS25045,SM286126_RS25045,SM286126_06162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670676,SM285138_RS24850,SM285138_RS24850,SM285138_07129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670698,SM285138_RS25185,SM285138_RS25185,SM285138_06162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670701,SM285138_RS25210,SM285138_RS25210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670702,SM285138_RS24800,SM285138_RS24800,SM285138_07121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670725,SM285138_RS24900,SM285138_RS24900,SM285138_07138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670729,SM285138_RS24585,SM285138_RS24585,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670734,SM285138_RS24780,SM285138_RS24780,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670743,SM285138_RS24890,SM285138_RS24890,SM285138_07130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670750,SM285138_RS25220,SM285138_RS25220,SM285138_06173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670752,SM285138_RS25120,SM285138_RS25120,SM285138_06167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39670757,SM285138_RS25170,SM285138_RS25170,SM285138_00084,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670759,SM285138_RS24995,SM285138_RS24995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670766,SM285138_RS25095,SM285138_RS25095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670768,SM285138_RS25015,SM285138_RS25015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670793,SM285138_RS25025,SM285138_RS25025,SM285138_07147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670809,SM260153_RS00010,SM260153_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670818,SM260153_RS00120,SM260153_RS00120,SM260153_06080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39670836,SM260153_RS00080,SM260153_RS00080,SM260153_06095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670841,SM260153_RS00095,SM260153_RS00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670883,SM260153_RS00370,SM260153_RS00370,SM260153_06123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670895,SM260153_RS00330,SM260153_RS00330,SM260153_07065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39670912,SM228157_RS24720,SM228157_RS24720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670913,SM228157_RS25295,SM228157_RS25295,SM228157_07188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39670915,SM228157_RS24740,SM228157_RS24740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670919,SM228157_RS24820,SM228157_RS24820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670921,SM228157_RS25185,SM228157_RS25185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670922,SM228157_RS25255,SM228157_RS25255,SM228157_07162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670927,SM228157_RS25205,SM228157_RS25205,SM228157_07182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39670933,SM228157_RS24895,SM228157_RS24895,SM228157_00082,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39670947,SM228157_RS24935,SM228157_RS24935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670951,SM228157_RS24945,SM228157_RS24945,SM228157_06145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39670968,SM228157_RS25305,SM228157_RS25305,SM228157_07190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670971,SM228157_RS24910,SM228157_RS24910,SM228157_06147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39670985,SM228157_RS24750,SM228157_RS24750,SM228157_07128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671005,SM228157_RS24845,SM228157_RS24845,SM228157_06139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39671018,SM228157_RS24990,SM228157_RS24990,SM228157_06155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671051,SA228140_RS24685,SA228140_RS24685,SA228140_07059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671054,SA228140_RS24660,SA228140_RS24660,SA228140_07055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39671055,SA228140_RS25045,SA228140_RS25045,SA228140_06063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671060,SA228140_RS24555,SA228140_RS24555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671065,SA228140_RS25020,SA228140_RS25020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671067,SA228140_RS25010,SA228140_RS25010,SA228140_06061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39671089,SA228140_RS24700,SA228140_RS24700,SA228140_07061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671091,SA228140_RS25110,SA228140_RS25110,SA228140_06057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39671107,SA228140_RS25215,SA228140_RS25215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671119,SA228140_RS25135,SA228140_RS25135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671125,SA228140_RS24770,SA228140_RS24770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671133,SA228140_RS25060,SA228140_RS25060,SA228140_00081,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39671137,SA228140_RS24750,SA228140_RS24750,SA228140_07069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671146,SA228140_RS25205,SA228140_RS25205,SA228140_07119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671154,SA228140_RS24965,SA228140_RS24965,SA228140_06054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671169,SA228140_RS24650,SA228140_RS24650,SA228140_07056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671180,SM215174_RS24535,SM215174_RS24535,SM215174_06979,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671216,SM215174_RS24575,SM215174_RS24575,SM215174_06972,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39671228,SM215174_RS24825,SM215174_RS24825,SM215174_07010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671244,SM215174_RS24785,SM215174_RS24785,SM215174_07079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39671248,SM215174_RS24550,SM215174_RS24550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
