#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64696461,F5147DRAFT_657093,F5147DRAFT_657093,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696462,F5147DRAFT_657094,F5147DRAFT_657094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696463,F5147DRAFT_657112,F5147DRAFT_657112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696464,F5147DRAFT_657116,F5147DRAFT_657116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696465,F5147DRAFT_657117,F5147DRAFT_657117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696466,F5147DRAFT_657119,F5147DRAFT_657119,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696467,F5147DRAFT_657121,F5147DRAFT_657121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696468,F5147DRAFT_657122,F5147DRAFT_657122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696469,F5147DRAFT_657123,F5147DRAFT_657123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696470,F5147DRAFT_657126,F5147DRAFT_657126,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696471,F5147DRAFT_657127,F5147DRAFT_657127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696472,F5147DRAFT_657128,F5147DRAFT_657128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696473,F5147DRAFT_657129,F5147DRAFT_657129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696474,F5147DRAFT_657130,F5147DRAFT_657130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696475,F5147DRAFT_657131,F5147DRAFT_657131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696476,F5147DRAFT_657138,F5147DRAFT_657138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696477,F5147DRAFT_657140,F5147DRAFT_657140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696478,F5147DRAFT_657141,F5147DRAFT_657141,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64696479,F5147DRAFT_657142,F5147DRAFT_657142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696480,F5147DRAFT_657144,F5147DRAFT_657144,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696481,F5147DRAFT_657146,F5147DRAFT_657146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696482,F5147DRAFT_657147,F5147DRAFT_657147,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696483,F5147DRAFT_657150,F5147DRAFT_657150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696484,F5147DRAFT_657161,F5147DRAFT_657161,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696485,F5147DRAFT_657162,F5147DRAFT_657162,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64696486,F5147DRAFT_657166,F5147DRAFT_657166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696487,F5147DRAFT_657169,F5147DRAFT_657169,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696488,F5147DRAFT_657172,F5147DRAFT_657172,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696489,F5147DRAFT_657174,F5147DRAFT_657174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696490,F5147DRAFT_657176,F5147DRAFT_657176,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696491,F5147DRAFT_657179,F5147DRAFT_657179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696492,F5147DRAFT_657180,F5147DRAFT_657180,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696493,F5147DRAFT_657183,F5147DRAFT_657183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696494,F5147DRAFT_657196,F5147DRAFT_657196,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696495,F5147DRAFT_657203,F5147DRAFT_657203,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696496,F5147DRAFT_657205,F5147DRAFT_657205,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696497,F5147DRAFT_657230,F5147DRAFT_657230,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696498,F5147DRAFT_657246,F5147DRAFT_657246,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696499,F5147DRAFT_657248,F5147DRAFT_657248,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696500,F5147DRAFT_657249,F5147DRAFT_657249,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696501,F5147DRAFT_657250,F5147DRAFT_657250,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696502,F5147DRAFT_657281,F5147DRAFT_657281,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696503,F5147DRAFT_657282,F5147DRAFT_657282,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696504,F5147DRAFT_657284,F5147DRAFT_657284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696505,F5147DRAFT_657285,F5147DRAFT_657285,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696506,F5147DRAFT_657286,F5147DRAFT_657286,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64696507,F5147DRAFT_657287,F5147DRAFT_657287,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696508,F5147DRAFT_657288,F5147DRAFT_657288,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696509,F5147DRAFT_657289,F5147DRAFT_657289,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696510,F5147DRAFT_657300,F5147DRAFT_657300,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696511,F5147DRAFT_657310,F5147DRAFT_657310,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696512,F5147DRAFT_657313,F5147DRAFT_657313,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696513,F5147DRAFT_657314,F5147DRAFT_657314,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696514,F5147DRAFT_657328,F5147DRAFT_657328,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696515,F5147DRAFT_657337,F5147DRAFT_657337,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696516,F5147DRAFT_657340,F5147DRAFT_657340,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696517,F5147DRAFT_657342,F5147DRAFT_657342,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696518,F5147DRAFT_657344,F5147DRAFT_657344,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696519,F5147DRAFT_657345,F5147DRAFT_657345,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696520,F5147DRAFT_657346,F5147DRAFT_657346,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696521,F5147DRAFT_657348,F5147DRAFT_657348,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696522,F5147DRAFT_657355,F5147DRAFT_657355,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696523,F5147DRAFT_657359,F5147DRAFT_657359,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696524,F5147DRAFT_657360,F5147DRAFT_657360,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696525,F5147DRAFT_657369,F5147DRAFT_657369,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696526,F5147DRAFT_657379,F5147DRAFT_657379,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696527,F5147DRAFT_657419,F5147DRAFT_657419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696528,F5147DRAFT_657420,F5147DRAFT_657420,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696529,F5147DRAFT_657422,F5147DRAFT_657422,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696530,F5147DRAFT_657436,F5147DRAFT_657436,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696531,F5147DRAFT_657437,F5147DRAFT_657437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696532,F5147DRAFT_657455,F5147DRAFT_657455,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696533,F5147DRAFT_657520,F5147DRAFT_657520,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696534,F5147DRAFT_657536,F5147DRAFT_657536,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696535,F5147DRAFT_657537,F5147DRAFT_657537,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696536,F5147DRAFT_657545,F5147DRAFT_657545,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696537,F5147DRAFT_657548,F5147DRAFT_657548,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696538,F5147DRAFT_657550,F5147DRAFT_657550,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696539,F5147DRAFT_657553,F5147DRAFT_657553,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696540,F5147DRAFT_657559,F5147DRAFT_657559,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696541,F5147DRAFT_657560,F5147DRAFT_657560,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696542,F5147DRAFT_657564,F5147DRAFT_657564,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696543,F5147DRAFT_657566,F5147DRAFT_657566,-,-,Unknown,-,NUC071 domain-containing protein,protein-coding,-,-,-,NUC071 domain-containing protein,20210605,-
1912936,64696544,F5147DRAFT_657568,F5147DRAFT_657568,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696545,F5147DRAFT_657569,F5147DRAFT_657569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696546,F5147DRAFT_657572,F5147DRAFT_657572,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696547,F5147DRAFT_657579,F5147DRAFT_657579,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696548,F5147DRAFT_657584,F5147DRAFT_657584,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696549,F5147DRAFT_657585,F5147DRAFT_657585,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696550,F5147DRAFT_657592,F5147DRAFT_657592,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696551,F5147DRAFT_657593,F5147DRAFT_657593,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696552,F5147DRAFT_657594,F5147DRAFT_657594,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696553,F5147DRAFT_657599,F5147DRAFT_657599,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696554,F5147DRAFT_657605,F5147DRAFT_657605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696555,F5147DRAFT_657616,F5147DRAFT_657616,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1912936,64696556,F5147DRAFT_657627,F5147DRAFT_657627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696557,F5147DRAFT_657641,F5147DRAFT_657641,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696558,F5147DRAFT_657642,F5147DRAFT_657642,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696559,F5147DRAFT_657644,F5147DRAFT_657644,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696560,F5147DRAFT_657659,F5147DRAFT_657659,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696561,F5147DRAFT_657682,F5147DRAFT_657682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696562,F5147DRAFT_657689,F5147DRAFT_657689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696563,F5147DRAFT_657698,F5147DRAFT_657698,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696564,F5147DRAFT_657699,F5147DRAFT_657699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696565,F5147DRAFT_657704,F5147DRAFT_657704,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696566,F5147DRAFT_657706,F5147DRAFT_657706,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696567,F5147DRAFT_657709,F5147DRAFT_657709,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696568,F5147DRAFT_657714,F5147DRAFT_657714,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696569,F5147DRAFT_657719,F5147DRAFT_657719,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696570,F5147DRAFT_657722,F5147DRAFT_657722,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696571,F5147DRAFT_657735,F5147DRAFT_657735,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696572,F5147DRAFT_657739,F5147DRAFT_657739,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696573,F5147DRAFT_657741,F5147DRAFT_657741,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696574,F5147DRAFT_657744,F5147DRAFT_657744,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696575,F5147DRAFT_657749,F5147DRAFT_657749,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696576,F5147DRAFT_657752,F5147DRAFT_657752,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696577,F5147DRAFT_657753,F5147DRAFT_657753,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696578,F5147DRAFT_657754,F5147DRAFT_657754,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696579,F5147DRAFT_657755,F5147DRAFT_657755,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696580,F5147DRAFT_657756,F5147DRAFT_657756,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696581,F5147DRAFT_657757,F5147DRAFT_657757,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696582,F5147DRAFT_657758,F5147DRAFT_657758,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696583,F5147DRAFT_657760,F5147DRAFT_657760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696584,F5147DRAFT_657761,F5147DRAFT_657761,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696585,F5147DRAFT_657762,F5147DRAFT_657762,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696586,F5147DRAFT_657766,F5147DRAFT_657766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696587,F5147DRAFT_657768,F5147DRAFT_657768,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696588,F5147DRAFT_657770,F5147DRAFT_657770,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696589,F5147DRAFT_657772,F5147DRAFT_657772,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696590,F5147DRAFT_657778,F5147DRAFT_657778,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696591,F5147DRAFT_657781,F5147DRAFT_657781,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696592,F5147DRAFT_657814,F5147DRAFT_657814,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696593,F5147DRAFT_657815,F5147DRAFT_657815,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696594,F5147DRAFT_657816,F5147DRAFT_657816,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696595,F5147DRAFT_657817,F5147DRAFT_657817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696596,F5147DRAFT_657819,F5147DRAFT_657819,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696597,F5147DRAFT_657835,F5147DRAFT_657835,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696598,F5147DRAFT_657842,F5147DRAFT_657842,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696599,F5147DRAFT_657858,F5147DRAFT_657858,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696600,F5147DRAFT_657862,F5147DRAFT_657862,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696601,F5147DRAFT_657863,F5147DRAFT_657863,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696602,F5147DRAFT_657867,F5147DRAFT_657867,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696603,F5147DRAFT_657880,F5147DRAFT_657880,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696604,F5147DRAFT_657885,F5147DRAFT_657885,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696605,F5147DRAFT_657888,F5147DRAFT_657888,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696606,F5147DRAFT_657890,F5147DRAFT_657890,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696607,F5147DRAFT_657902,F5147DRAFT_657902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696608,F5147DRAFT_657941,F5147DRAFT_657941,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696609,F5147DRAFT_657942,F5147DRAFT_657942,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696610,F5147DRAFT_657943,F5147DRAFT_657943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696611,F5147DRAFT_657950,F5147DRAFT_657950,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696612,F5147DRAFT_657951,F5147DRAFT_657951,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696613,F5147DRAFT_657956,F5147DRAFT_657956,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696614,F5147DRAFT_657962,F5147DRAFT_657962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696615,F5147DRAFT_657963,F5147DRAFT_657963,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696616,F5147DRAFT_657967,F5147DRAFT_657967,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696617,F5147DRAFT_657969,F5147DRAFT_657969,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696618,F5147DRAFT_657970,F5147DRAFT_657970,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696619,F5147DRAFT_657975,F5147DRAFT_657975,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696620,F5147DRAFT_657980,F5147DRAFT_657980,-,-,Unknown,-,anticodon-binding protein,protein-coding,-,-,-,anticodon-binding protein,20210605,-
1912936,64696621,F5147DRAFT_657988,F5147DRAFT_657988,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696622,F5147DRAFT_658010,F5147DRAFT_658010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696623,F5147DRAFT_658033,F5147DRAFT_658033,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696624,F5147DRAFT_658038,F5147DRAFT_658038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696625,F5147DRAFT_658058,F5147DRAFT_658058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696626,F5147DRAFT_658060,F5147DRAFT_658060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696627,F5147DRAFT_658061,F5147DRAFT_658061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696628,F5147DRAFT_658062,F5147DRAFT_658062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696629,F5147DRAFT_658063,F5147DRAFT_658063,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696630,F5147DRAFT_658064,F5147DRAFT_658064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696631,F5147DRAFT_658065,F5147DRAFT_658065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696632,F5147DRAFT_658066,F5147DRAFT_658066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696633,F5147DRAFT_658072,F5147DRAFT_658072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
