#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287,2827877,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus aeruginosus; Bacillus pyocyaneus; Bacterium aeruginosum; Bacterium pyocyaneum; Micrococcus pyocyaneus; Pseudomonas polycolor; Pseudomonas pyocyanea; probable synonym or variety: ""Pseudomonas polycolor"" Clara 1930.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
287,42591789,IHMA87_RS31475,IHMA87_RS31475,IHMA87_06163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591790,IHMA87_RS32345,IHMA87_RS32345,IHMA87_06318,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591791,IHMA87_RS32335,IHMA87_RS32335,IHMA87_06317,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591792,IHMA87_RS32325,IHMA87_RS32325,IHMA87_06315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591793,IHMA87_RS32295,IHMA87_RS32295,IHMA87_06310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591795,IHMA87_RS31460,IHMA87_RS31460,IHMA87_06160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591797,IHMA87_RS32285,IHMA87_RS32285,IHMA87_06309,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591798,IHMA87_RS32170,IHMA87_RS32170,IHMA87_06288,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591799,IHMA87_RS32265,IHMA87_RS32265,IHMA87_06306,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591800,IHMA87_RS31880,IHMA87_RS31880,IHMA87_06240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
287,42591802,IHMA87_RS32235,IHMA87_RS32235,IHMA87_06300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591804,IHMA87_RS32225,IHMA87_RS32225,IHMA87_06298,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591805,IHMA87_RS32230,IHMA87_RS32230,IHMA87_06299,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591806,IHMA87_RS31740,IHMA87_RS31740,IHMA87_06215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591808,IHMA87_RS32205,IHMA87_RS32205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591809,IHMA87_RS32195,IHMA87_RS32195,IHMA87_06293,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591810,IHMA87_RS32185,IHMA87_RS32185,IHMA87_06292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591812,IHMA87_RS32160,IHMA87_RS32160,IHMA87_06286,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591814,IHMA87_RS32140,IHMA87_RS32140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591818,IHMA87_RS32000,IHMA87_RS32000,IHMA87_06261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591822,E6P00_RS01570,E6P00_RS01570,E6P00_01570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591826,E6P00_RS00455,E6P00_RS00455,E6P00_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591829,E6P00_RS00970,E6P00_RS00970,E6P00_00970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591833,E6P00_RS01345,E6P00_RS01345,E6P00_01345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591834,E6P00_RS00660,E6P00_RS00660,E6P00_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42591838,E6P00_RS00860,E6P00_RS00860,E6P00_00860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591840,E6P00_RS02145,E6P00_RS02145,E6P00_02145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591842,E6P00_RS01530,E6P00_RS01530,E6P00_01530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591843,E6P00_RS02015,E6P00_RS02015,E6P00_02015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591846,E6P00_RS02220,E6P00_RS02220,E6P00_02220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591847,E6P00_RS02280,E6P00_RS02280,E6P00_02280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
287,42591852,E6P00_RS02390,E6P00_RS02390,E6P00_02390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591855,E6P00_RS01135,E6P00_RS01135,E6P00_01135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591856,E6P00_RS00630,E6P00_RS00630,E6P00_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591860,E6P00_RS00005,E6P00_RS00005,E6P00_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591863,E6P00_RS01660,E6P00_RS01660,E6P00_01660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591867,E6P00_RS02210,E6P00_RS02210,E6P00_02210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591868,E6P00_RS01750,E6P00_RS01750,E6P00_01750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591869,E6P00_RS02290,E6P00_RS02290,E6P00_02290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
287,42591874,E6P00_RS02250,E6P00_RS02250,E6P00_02250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591880,E6P00_RS00975,E6P00_RS00975,E6P00_00975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591882,E6P00_RS00500,E6P00_RS00500,E6P00_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591886,E6P00_RS01885,E6P00_RS01885,E6P00_01885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591888,E6P00_RS01630,E6P00_RS01630,E6P00_01630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591889,E6P00_RS01390,E6P00_RS01390,E6P00_01390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591901,E6P00_RS00685,E6P00_RS00685,E6P00_00685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591902,E6P00_RS00365,E6P00_RS00365,E6P00_00365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591903,E6P00_RS01905,E6P00_RS01905,E6P00_01905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591906,E6P00_RS01525,E6P00_RS01525,E6P00_01525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591914,E6P00_RS01860,E6P00_RS01860,E6P00_01860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591919,E6P00_RS00275,E6P00_RS00275,E6P00_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591922,E6P00_RS00015,E6P00_RS00015,E6P00_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591923,E6P00_RS00865,E6P00_RS00865,E6P00_00865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591928,E6P00_RS01580,E6P00_RS01580,E6P00_01580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591930,E6P00_RS01520,E6P00_RS01520,E6P00_01520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591934,E6P00_RS01795,E6P00_RS01795,E6P00_01795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42591935,E6P00_RS01870,E6P00_RS01870,E6P00_01870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591936,E6P00_RS01825,E6P00_RS01825,E6P00_01825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591939,E6P00_RS01915,E6P00_RS01915,E6P00_01915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591940,E6P00_RS01055,E6P00_RS01055,E6P00_01055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591941,E6P00_RS00360,E6P00_RS00360,E6P00_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42591944,E6P00_RS02070,E6P00_RS02070,E6P00_02070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591945,E6P00_RS01735,E6P00_RS01735,E6P00_01735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591946,E6P00_RS01710,E6P00_RS01710,E6P00_01710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591948,E6P00_RS01805,E6P00_RS01805,E6P00_01805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591951,E6P00_RS01085,E6P00_RS01085,E6P00_01085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591954,E6P00_RS01610,E6P00_RS01610,E6P00_01610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591955,E6P00_RS00795,E6P00_RS00795,E6P00_00795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591957,E6P00_RS00495,E6P00_RS00495,E6P00_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591960,E6P00_RS00485,E6P00_RS00485,E6P00_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591965,E6P00_RS01760,E6P00_RS01760,E6P00_01760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591972,E6P00_RS02160,E6P00_RS02160,E6P00_02160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591974,E6P00_RS02095,E6P00_RS02095,E6P00_02095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591975,E6P00_RS00290,E6P00_RS00290,E6P00_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591976,E6P00_RS01790,E6P00_RS01790,E6P00_01790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591977,E6P00_RS01855,E6P00_RS01855,E6P00_01855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591978,E6P00_RS01835,E6P00_RS01835,E6P00_01835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591980,E6P00_RS00315,E6P00_RS00315,E6P00_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591982,E6P00_RS01820,E6P00_RS01820,E6P00_01820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591983,E6P00_RS02000,E6P00_RS02000,E6P00_02000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591984,E6P00_RS00220,E6P00_RS00220,E6P00_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591985,E6P00_RS01300,E6P00_RS01300,E6P00_01300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591987,E6P00_RS02385,E6P00_RS02385,E6P00_02385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591989,E6P00_RS01595,E6P00_RS01595,E6P00_01595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591990,E6P00_RS01850,E6P00_RS01850,E6P00_01850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591992,E6P00_RS01830,E6P00_RS01830,E6P00_01830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591995,E6P00_RS00720,E6P00_RS00720,E6P00_00720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591996,E6P00_RS01975,E6P00_RS01975,E6P00_01975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591998,E6P00_RS02175,E6P00_RS02175,E6P00_02175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592000,E6P00_RS01845,E6P00_RS01845,E6P00_01845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592002,E6P00_RS01635,E6P00_RS01635,E6P00_01635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592003,E6P00_RS01785,E6P00_RS01785,E6P00_01785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592004,E6P00_RS01555,E6P00_RS01555,E6P00_01555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592005,E6P00_RS00010,E6P00_RS00010,E6P00_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592006,E6P00_RS01605,E6P00_RS01605,E6P00_01605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592013,E6P00_RS01160,E6P00_RS01160,E6P00_01160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592014,E6P00_RS01460,E6P00_RS01460,E6P00_01460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592015,E6P00_RS01650,E6P00_RS01650,E6P00_01650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592018,E6P00_RS01450,E6P00_RS01450,E6P00_01450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592020,E6P00_RS01960,E6P00_RS01960,E6P00_01960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592021,E6P00_RS02065,E6P00_RS02065,E6P00_02065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592022,E6P00_RS01810,E6P00_RS01810,E6P00_01810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42592023,E6P00_RS02190,E6P00_RS02190,E6P00_02190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592029,E6P00_RS00470,E6P00_RS00470,E6P00_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592031,E6P00_RS00400,E6P00_RS00400,E6P00_00400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592033,E6P00_RS00240,E6P00_RS00240,E6P00_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592035,E6P00_RS01550,E6P00_RS01550,E6P00_01550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592038,E6P00_RS02010,E6P00_RS02010,E6P00_02010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592039,E6P00_RS00260,E6P00_RS00260,E6P00_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592045,E6P00_RS01800,E6P00_RS01800,E6P00_01800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592046,E6P00_RS02150,E6P00_RS02150,E6P00_02150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42592049,E6P00_RS02100,E6P00_RS02100,E6P00_02100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592056,E6P00_RS02375,E6P00_RS02375,E6P00_02375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592057,E6P00_RS00210,E6P00_RS00210,E6P00_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592059,E6P00_RS01945,E6P00_RS01945,E6P00_01945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592067,E6P00_RS01340,E6P00_RS01340,E6P00_01340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42592071,E6P00_RS01745,E6P00_RS01745,E6P00_01745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592072,E6P00_RS02125,E6P00_RS02125,E6P00_02125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592077,E6P00_RS02245,E6P00_RS02245,E6P00_02245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592078,E6P00_RS01310,E6P00_RS01310,E6P00_01310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592080,E6P00_RS00755,E6P00_RS00755,E6P00_00755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592085,E6P00_RS00475,E6P00_RS00475,E6P00_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592092,E6P00_RS00025,E6P00_RS00025,E6P00_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592093,E6P00_RS00790,E6P00_RS00790,E6P00_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42592094,E6P00_RS01110,E6P00_RS01110,E6P00_01110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42592095,E6P00_RS01265,E6P00_RS01265,E6P00_01265,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20210123,-
287,42592098,E6P00_RS01325,E6P00_RS01325,E6P00_01325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592102,E6P00_RS00370,E6P00_RS00370,E6P00_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42592105,E6P00_RS01505,E6P00_RS01505,E6P00_01505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592109,E6P00_RS01640,E6P00_RS01640,E6P00_01640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592113,E6P00_RS01365,E6P00_RS01365,E6P00_01365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592115,E6P00_RS00450,E6P00_RS00450,E6P00_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592124,E6P00_RS01645,E6P00_RS01645,E6P00_01645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592125,E6P00_RS00955,E6P00_RS00955,E6P00_00955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592126,E6P00_RS00650,E6P00_RS00650,E6P00_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592127,E6P00_RS00985,E6P00_RS00985,E6P00_00985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42592135,CPZ93_RS32625,CPZ93_RS32625,CPZ93_33395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592139,CPZ93_RS32675,CPZ93_RS32675,CPZ93_33450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
287,42592140,CPZ93_RS32670,CPZ93_RS32670,CPZ93_33435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592141,CPZ93_RS32720,CPZ93_RS32720,CPZ93_33495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42592142,CPZ93_RS32750,CPZ93_RS32750,CPZ93_33525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592143,CPZ93_RS32560,CPZ93_RS32560,CPZ93_33330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592144,CPZ93_RS32685,CPZ93_RS32685,CPZ93_33460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592145,CPZ93_RS32765,CPZ93_RS32765,CPZ93_33535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592148,CPZ93_RS32575,CPZ93_RS32575,CPZ93_33340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42592155,CPZ93_RS32690,CPZ93_RS32690,CPZ93_33465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592157,CPZ93_RS32610,CPZ93_RS32610,CPZ93_33375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592158,CPZ93_RS32570,CPZ93_RS32570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592159,CPZ93_RS32710,CPZ93_RS32710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592160,CPZ93_RS32600,CPZ93_RS32600,CPZ93_33365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42592161,CPZ93_RS32655,CPZ93_RS32655,CPZ93_33425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592165,CPZ93_RS32595,CPZ93_RS32595,CPZ93_33360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592173,CPZ93_RS32715,CPZ93_RS32715,CPZ93_33490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592175,CPZ93_RS32635,CPZ93_RS32635,CPZ93_33405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42592176,CPZ93_RS32695,CPZ93_RS32695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592177,CPZ93_RS32590,CPZ93_RS32590,CPZ93_33355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592179,CPZ93_RS32755,CPZ93_RS32755,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592180,CPZ93_RS32735,CPZ93_RS32735,CPZ93_33510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592181,CPZ93_RS32725,CPZ93_RS32725,CPZ93_33500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
287,42592184,CPZ93_RS32740,CPZ93_RS32740,CPZ93_33515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592185,CPZ93_RS32700,CPZ93_RS32700,CPZ93_33470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
287,42592187,CPZ93_RS32730,CPZ93_RS32730,CPZ93_33505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592189,CPZ93_RS32830,CPZ93_RS32830,CPZ93_33605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42592190,CPZ93_RS32705,CPZ93_RS32705,CPZ93_33480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592191,FIT60_RS00265,FIT60_RS00265,FIT60_04615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592192,FIT60_RS00235,FIT60_RS00235,FIT60_04585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
287,42592194,FIT60_RS01370,FIT60_RS01370,FIT60_05720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592195,FIT60_RS01425,FIT60_RS01425,FIT60_05775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592197,FIT60_RS00670,FIT60_RS00670,FIT60_05020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592199,FIT60_RS00240,FIT60_RS00240,FIT60_04590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592200,FIT60_RS00445,FIT60_RS00445,FIT60_04795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592201,FIT60_RS02245,FIT60_RS02245,FIT60_06595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42592202,FIT60_RS01660,FIT60_RS01660,FIT60_06010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592203,FIT60_RS01050,FIT60_RS01050,FIT60_05400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42592204,FIT60_RS01440,FIT60_RS01440,FIT60_05790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592205,FIT60_RS00160,FIT60_RS00160,FIT60_04510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
287,42592207,FIT60_RS01045,FIT60_RS01045,FIT60_05395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42592210,FIT60_RS00470,FIT60_RS00470,FIT60_04820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42592214,FIT60_RS02125,FIT60_RS02125,FIT60_06475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592217,FIT60_RS00220,FIT60_RS00220,FIT60_04570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42592218,FIT60_RS00440,FIT60_RS00440,FIT60_04790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42592221,FIT60_RS01940,FIT60_RS01940,FIT60_06290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
