#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239383,14181322,F867_gp041,F867_gp041,-,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20200629,-
1239383,14181323,F867_gp040,F867_gp040,-,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200629,-
1239383,14181324,F867_gp039,F867_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181325,F867_gp038,F867_gp038,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181326,F867_gp037,F867_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181327,F867_gp036,F867_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181328,F867_gp035,F867_gp035,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201026,-
1239383,14181329,F867_gp034,F867_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181330,F867_gp033,F867_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181331,F867_gp032,F867_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181332,F867_gp031,F867_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181333,F867_gp030,F867_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181334,F867_gp029,F867_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181335,F867_gp028,F867_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181336,F867_gp027,F867_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181337,F867_gp026,F867_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181338,F867_gp025,F867_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181339,F867_gp024,F867_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181340,F867_gp023,F867_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181341,F867_gp022,F867_gp022,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181342,F867_gp021,F867_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1239383,14181343,F867_gp020,F867_gp020,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181344,F867_gp019,F867_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181345,F867_gp018,F867_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181346,F867_gp017,F867_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181347,F867_gp016,F867_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181348,F867_gp015,F867_gp015,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181349,F867_gp014,F867_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181350,F867_gp013,F867_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181351,F867_gp012,F867_gp012,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181352,F867_gp011,F867_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181353,F867_gp010,F867_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181354,F867_gp009,F867_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181355,F867_gp008,F867_gp008,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181356,F867_gp007,F867_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181357,F867_gp006,F867_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239383,14181358,sci,F867_gp173,-,-,-,-,Sci,protein-coding,-,-,-,Sci,20200629,-
1239383,14181359,F867_gp175,F867_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
