#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
3077,809133,psaA,ChvulCp091,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,protein-coding,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,20200908,-
3077,809134,rps12,ChvulCp050,-,-,-,-,ribosomal protein S12,protein-coding,-,-,-,ribosomal protein S12,20200908,-
3077,809135,atpE,ChvulCp147,-,-,-,-,ATP synthase CF1 epsilon subunit,protein-coding,-,-,-,ATP synthase CF1 epsilon subunit,20201003,-
3077,809136,rps14,ChvulCp141,-,-,-,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20200908,-
3077,809137,atpH,ChvulCp023,-,-,-,-,ATP synthase CF0 C subunit,protein-coding,-,-,-,ATP synthase CF0 C subunit,20200908,-
3077,809138,rps18,ChvulCp047,-,-,-,-,ribosomal protein S18,protein-coding,-,-,-,ribosomal protein S18,20200908,-
3077,809139,chlB,ChvulCp081,-,-,-,-,photochlorophyllide reductase subunit B,protein-coding,-,-,-,photochlorophyllide reductase subunit B,20201003,-
3077,809140,rpl20,ChvulCp046,-,-,-,-,ribosomal protein L20,protein-coding,-,-,-,ribosomal protein L20,20200908,-
3077,809141,rps3,ChvulCp172,-,-,-,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200908,-
3077,809142,infA,ChvulCp166,-,-,-,-,translation initiation factor 1,protein-coding,-,-,-,translation initiation factor 1,20200908,-
3077,809143,rrn16,ChvulCr177,-,-,-,-,16S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3077,809144,rps19,ChvulCp173,-,-,-,-,ribosomal protein S19,protein-coding,-,-,-,ribosomal protein S19,20200908,-
3077,809145,rpl19,ChvulCp053,-,-,-,-,ribosomal protein L19,protein-coding,-,-,-,ribosomal protein L19,20200908,-
3077,809146,psbT,ChvulCp089,-,-,-,-,photosystem II protein T,protein-coding,-,-,-,photosystem II protein T,20200908,-
3077,809147,rpl23,ChvulCp176,-,-,-,-,ribosomal protein L23,protein-coding,-,-,-,ribosomal protein L23,20200908,-
3077,809148,atpI,ChvulCp025,-,-,-,-,ATP synthase CF0 A subunit,protein-coding,-,-,-,ATP synthase CF0 A subunit,20200908,-
3077,809149,chlI,ChvulCp156,-,-,-,-,Mg-protoporyphyrin IX chelatase,protein-coding,-,-,-,Mg-protoporyphyrin IX chelatase,20201003,-
3077,809150,rpl2,ChvulCp175,-,-,-,-,ribosomal protein L2,protein-coding,-,-,-,ribosomal protein L2,20201003,-
3077,809151,psbK,ChvulCp107,-,-,-,-,photosystem II protein K,protein-coding,-,-,-,photosystem II protein K,20191214,-
3077,809152,trnA,ChvulCt186,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809154,rrn23,ChvulCr178,-,-,-,-,23S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3077,809155,atpF,ChvulCp022,-,-,-,-,ATP synthase CF0 B chain,protein-coding,-,-,-,ATP synthase CF0 B chain,20191214,-
3077,809156,rrn5,ChvulCr179,-,-,-,-,5S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3077,809157,trnC,ChvulCt207,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809158,trnD,ChvulCt210,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809160,rps8,ChvulCp167,-,-,-,-,ribosomal protein S8,protein-coding,-,-,-,ribosomal protein S8,20200908,-
3077,809161,psbN,ChvulCp088,-,-,-,-,photosystem II protein N,protein-coding,-,-,-,photosystem II protein N,20200908,-
3077,809162,psbM,ChvulCp084,-,-,-,-,photosystem II protein M,protein-coding,-,-,-,photosystem II protein M,20200908,-
3077,809163,psbL,ChvulCp067,-,-,-,-,photosystem II protein L,protein-coding,-,-,-,photosystem II protein L,20200908,-
3077,809164,rbcL,ChvulCp139,-,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",20200908,-
3077,809165,petL,ChvulCp151,-,-,-,-,cytochrome b6/f complex subunit VI,protein-coding,-,-,-,cytochrome b6/f complex subunit VI,20201003,-
3077,809166,trnL,ChvulCt184,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809167,trnS,ChvulCt211,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809168,trnL,ChvulCt202,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809169,trnH,ChvulCt193,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809170,trnL,ChvulCt195,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809171,trnS,ChvulCt183,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809172,trnY,ChvulCt201,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809173,ycf3,ChvulCp029,-,-,-,-,photosystem I assembly protein Ycf3,protein-coding,-,-,-,photosystem I assembly protein Ycf3,20191214,-
3077,809174,ccsA,ChvulCp128,ycf5,-,-,-,cytochrome c biogenesis protein,protein-coding,-,-,-,cytochrome c biogenesis protein,20200908,-
3077,809175,trnT,ChvulCt197,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809176,trnR,ChvulCt205,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809177,trnW,ChvulCt190,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809178,trnV,ChvulCt198,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809179,trnT,ChvulCt181,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809180,psbZ,ChvulCp063,-,-,-,-,photosystem II protein Z,protein-coding,-,-,-,photosystem II protein Z,20200908,-
3077,809181,trnE,ChvulCt189,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809182,trnK,ChvulCt192,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809183,trnI,ChvulCt180,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809184,trnR,ChvulCt212,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809185,ycf4,ChvulCp054,-,-,-,-,photosystem I assembly protein Ycf4,protein-coding,-,-,-,photosystem I assembly protein Ycf4,20200908,-
3077,809186,trnS,ChvulCt187,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809187,trnR,ChvulCt182,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809188,trnV,ChvulCt196,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809189,trnL,ChvulCt199,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809190,psbJ,ChvulCp066,-,-,-,-,photosystem II protein J,protein-coding,-,-,-,photosystem II protein J,20191214,-
3077,809191,trnI,ChvulCt185,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809192,trnQ,ChvulCt204,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809193,trnP,ChvulCt191,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809194,trnM,ChvulCt208,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809195,trnG,ChvulCt194,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809196,trnG,ChvulCt209,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809197,I-CvuI,ChvulCp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,809198,psbH,ChvulCp086,-,-,-,-,photosystem II protein H,protein-coding,-,-,-,photosystem II protein H,20191214,-
3077,809199,rpl14,ChvulCp170,-,-,-,-,ribosomal protein L14,protein-coding,-,-,-,ribosomal protein L14,20200908,-
3077,809200,petA,ChvulCp153,-,-,-,-,cytochrome f,protein-coding,-,-,-,cytochrome f,20191214,-
3077,809201,rps2,ChvulCp027,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20200908,-
3077,809202,chlN,ChvulCp123,-,-,-,-,photochlorophyllide reductase subunit N,protein-coding,-,-,-,photochlorophyllide reductase subunit N,20200908,-
3077,809203,rpl12,ChvulCp157,-,-,-,-,ribosomal protein L12,protein-coding,-,-,-,ribosomal protein L12,20201010,-
3077,809204,ftsH,ChvulCp072,-,-,-,-,cell division protein FtsH,protein-coding,-,-,-,cell division protein FtsH,20191214,-
3077,809205,trnN,ChvulCt206,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809206,rps9,ChvulCp161,-,-,-,-,ribosomal protein S9,protein-coding,-,-,-,ribosomal protein S9,20200908,-
3077,809207,psaM,ChvulCp103,-,-,-,-,photosystem I subunit XII,protein-coding,-,-,-,photosystem I subunit XII,20200908,-
3077,809208,minE,ChvulCp114,-,-,-,-,cell division topological specificity factor,protein-coding,-,-,-,cell division topological specificity factor,20200908,-
3077,809209,rpl5,ChvulCp169,-,-,-,-,ribosomal protein L5,protein-coding,-,-,-,ribosomal protein L5,20191214,-
3077,809210,trnF,ChvulCt203,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809211,accD,ChvulCp074,-,-,-,-,acetyl-CoA carboxylase beta subunit,protein-coding,-,-,-,acetyl-CoA carboxylase beta subunit,20200908,-
3077,809212,atpA,ChvulCp021,-,-,-,-,ATP synthase CF1 alpha subunit,protein-coding,-,-,-,ATP synthase CF1 alpha subunit,20201010,-
3077,809213,tufA,ChvulCp052,-,-,-,-,elongation factor Tu,protein-coding,-,-,-,elongation factor Tu,20200908,-
3077,1457386,ChvulCp002,ChvulCp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
