#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887641,29080365,101,BIZ77_gp078,SEA_BANTAM_101,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200910,-
1887641,29080366,102,BIZ77_gp077,SEA_BANTAM_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1887641,29080367,103,BIZ77_gp076,SEA_BANTAM_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080368,104,BIZ77_gp075,SEA_BANTAM_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080369,105,BIZ77_gp074,SEA_BANTAM_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080370,106,BIZ77_gp073,SEA_BANTAM_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080371,107,BIZ77_gp072,SEA_BANTAM_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080372,108,BIZ77_gp071,SEA_BANTAM_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080373,109,BIZ77_gp070,SEA_BANTAM_109,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1887641,29080374,110,BIZ77_gp069,SEA_BANTAM_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080375,111,BIZ77_gp068,SEA_BANTAM_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080376,112,BIZ77_gp067,SEA_BANTAM_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080377,113,BIZ77_gp066,SEA_BANTAM_113,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200910,-
1887641,29080378,114,BIZ77_gp065,SEA_BANTAM_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080379,115,BIZ77_gp064,SEA_BANTAM_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080380,116,BIZ77_gp063,SEA_BANTAM_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
